ФИО,Группа крови,Любимая еда,Наличие публикаций,Наличие золотой медали,Участие в олимпиадах НИУ ВШЭ,Мотивационное письмо,Мечта,Участие в подготовительных курсах НИУ ВШЭ,Частота прогулок,Участие во всероссийских олимпиадах,Хобби,Средний балл ЕГЭ,Участие в волонтерской деятельности,Средний балл аттестата,Любимый цвет,Наличие питомца,Target
Сидоров Вячеслав Георгиевич,III,Роллы,Да,Нет,Да,0,Бизнес,Нет,Несколько раз в неделю,Нет,Туризм,42,Нет,4.623638771101367,Черный,Нет,0
Кузнецова Мария Николаевна,I,Бургер,Да,Да,Нет,2,Путешествия,Да,Редко,Да,Музыка,99,Да,4.344748568909776,Синий,Да,1
Романова Татьяна Павловна,I,Пицца,-,Нет,Да,2,Путешествия,Нет,Ежедневно,Да,Спортивные игры,92,Да,4.818514583874676,Красный,Нет,1
Волков Егор Олегович,I,Суши,Нет,-,Да,1,Семья,Да,Редко,Да,Чтение,85,Да,4.580290546400494,Желтый,Да,1
Иванова Алёна Антоновна,II,Пицца,Нет,Да,Да,1,Наука,-,Ежедневно,Да,Чтение,71,Да,4.823670508738277,Зеленый,Нет,1
Новиков Юрий Андреевич,I,Салат,Нет,-,Нет,5,Путешествия,Да,Несколько раз в неделю,Да,Спортивные игры,91,Нет,4.836978523677875,Черный,Да,1
Васильев Виктор Иванович,III,Салат,Нет,Да,Нет,0,Наука,Нет,Несколько раз в неделю,Да,Туризм,77,Нет,4.291180523525626,Синий,Да,0
Кузнецов Илья Артурович,II,Салат,Нет,Нет,Нет,1,Семья,Да,Ежедневно,Да,Кино,77,Нет,4.080189967734147,Синий,Да,0
Смирнова Валерия Романовна,II,Суши,-,Да,Нет,1,Наука,Да,Ежедневно,Нет,Чтение,93,Да,4.4160484414302985,Синий,Да,0
Лебедева Дарья Павловна,I,Бургер,Нет,Нет,Да,1,Наука,Нет,Несколько раз в неделю,Нет,Кино,45,Да,4.999961572672642,Красный,Нет,0
Васильева Анастасия Павловна,III,Салат,-,Нет,-,4,Семья,Нет,Редко,Нет,Спортивные игры,64,Нет,4.226799847035198,Зеленый,Да,0
Морозов Алексей Сергеевич,I,Роллы,Да,-,Нет,1,Путешествия,-,Редко,Нет,Туризм,63,Нет,4.513750059741467,Синий,Да,0
Соловьев Николай Сергеевич,II,Салат,Нет,Нет,-,3,Карьерный рост,Да,Несколько раз в неделю,Да,Кино,95,Да,4.585455131748059,Желтый,Да,1
Соколов Роман Ильич,IV,Роллы,Нет,Нет,Да,2,Карьерный рост,Да,Редко,-,Кино,51,Нет,4.089091115376828,Красный,Да,1
Смирнова Юлия Сергеевна,II,Бургер,Да,Да,Да,1,Семья,Нет,Редко,Да,Туризм,90,Нет,4.701532156326052,Синий,Да,1
Федоров Олег Дмитриевич,II,Роллы,Нет,Да,Нет,0,Наука,Нет,Редко,Нет,Кино,45,Да,4.6260483306607085,Синий,Нет,0
Кузнецов Николай Павлович,II,Роллы,Да,Нет,Нет,3,Семья,Да,Редко,Да,Туризм,61,-,4.989342345197867,Синий,Да,0
Козлов Николай Сергеевич,III,Роллы,Да,Нет,-,2,Семья,Нет,Редко,Нет,Музыка,45,Да,4.528976479812421,Желтый,Нет,0
Борисова Алиса Павловна,III,Салат,Нет,Да,Нет,0,Карьерный рост,Нет,Несколько раз в неделю,Да,Музыка,54,Нет,4.9610284228681385,Синий,Да,0
Васильев Олег Антонович,IV,Суши,Да,Да,Да,0,Путешествия,-,Ежедневно,Да,Чтение,71,Нет,4.7763855618633455,Желтый,Нет,1
Григорьев Владимир Олегович,II,Суши,Да,Нет,Нет,1,Семья,Нет,Ежедневно,Да,Спортивные игры,88,Да,4.673952499214775,Черный,Нет,0
Кузнецова Полина Юрьевна,II,Пицца,Нет,Да,Нет,2,Семья,Да,Редко,Нет,Кино,93,Нет,4.795878693286384,Зеленый,Нет,0
Козлова Ирина Артуровна,II,Пицца,Нет,Нет,Нет,2,Путешествия,Нет,Ежедневно,Нет,Кино,55,Нет,4.367758713863339,Желтый,Да,0
Волков Павел Антонович,II,Бургер,Нет,Да,Нет,2,Путешествия,Да,Несколько раз в неделю,Нет,Спортивные игры,70,-,4.83881749343016,Зеленый,Да,0
Федорова Татьяна Сергеевна,III,Салат,Нет,Да,Нет,0,Путешествия,Да,Редко,Нет,Чтение,96,Нет,4.609463018723213,Синий,Да,0
Борисов Антон Ильич,III,Салат,Нет,Да,Нет,0,Семья,Нет,Несколько раз в неделю,Да,Туризм,58,Да,4.480609351703097,Зеленый,Нет,0
Григорьев Максим Николаевич,III,Суши,Да,Да,Нет,3,Путешествия,Да,Несколько раз в неделю,Да,Кино,74,Да,4.078522743528473,Зеленый,Нет,1
Кузнецова Юлия Артуровна,I,Салат,Да,Нет,-,4,Бизнес,-,Редко,Нет,Чтение,86,Да,4.250737828342822,Желтый,Нет,1
Морозов Максим Артурович,I,Суши,Да,Да,Нет,0,Семья,Нет,Редко,Нет,Спортивные игры,66,Нет,4.758059935639241,Черный,Да,0
Федорова Ксения Дмитриевна,II,Роллы,Да,Да,-,2,Бизнес,Нет,Несколько раз в неделю,Да,Музыка,41,-,4.731934088389189,Красный,Да,0
Смирнова Ольга Юрьевна,II,Пицца,Да,-,Нет,5,Наука,-,Несколько раз в неделю,Нет,Туризм,98,Да,4.6470850788008295,Черный,Нет,1
Волкова Зоя Алексеевна,I,Бургер,Нет,Да,Нет,4,Путешествия,-,Несколько раз в неделю,Нет,Чтение,97,Нет,4.0849817946059,Красный,Нет,0
Григорьев Олег Антонович,IV,Салат,Нет,-,-,3,Семья,Нет,Несколько раз в неделю,Да,Спортивные игры,60,Да,4.23012714325623,Зеленый,Да,0
Смирнова Татьяна Антоновна,III,Суши,Нет,Нет,Да,2,Семья,Нет,Ежедневно,Нет,Туризм,49,Нет,4.006514682698984,Желтый,Нет,0
Сидоров Георгий Дмитриевич,IV,Пицца,Да,Нет,Нет,2,Карьерный рост,Нет,Несколько раз в неделю,Да,Музыка,56,Да,4.592551092423594,Красный,Да,0
Кузнецов Юрий Викторович,I,Суши,Да,-,Нет,0,Бизнес,Да,Несколько раз в неделю,Да,Чтение,96,-,4.226398420269345,Черный,Да,1
Михайлов Константин Артурович,IV,Бургер,Да,Нет,-,0,Карьерный рост,Да,Ежедневно,Да,Спортивные игры,49,Да,4.288535860097735,Зеленый,Нет,0
Козлов Владимир Олегович,IV,Суши,Нет,Да,Нет,1,Карьерный рост,Да,Несколько раз в неделю,-,Туризм,43,Да,4.713849524136292,Красный,Нет,0
Соловьева Юлия Артуровна,IV,Суши,-,Да,Нет,4,Путешествия,Да,Несколько раз в неделю,Да,Туризм,93,Да,4.556802414094718,Красный,Да,1
Новикова Полина Николаевна,II,Пицца,Да,Да,Нет,5,Путешествия,Нет,Ежедневно,Да,Туризм,48,Нет,4.874672840105123,Зеленый,Да,0
Иванова Вероника Алексеевна,IV,Салат,Нет,Да,-,5,Карьерный рост,Да,Редко,Да,Чтение,94,-,4.298833587689729,Желтый,Нет,1
Морозова Елена Ильинична,I,Салат,Да,Да,Да,3,Наука,-,Несколько раз в неделю,Нет,Туризм,57,Нет,4.07606203168012,Черный,Да,1
Волкова Валерия Егоровна,II,Салат,Нет,Да,Да,1,Бизнес,Да,Ежедневно,Нет,Туризм,71,Да,4.723044397872575,Синий,Нет,1
Борисов Виктор Егорович,I,Суши,Нет,Нет,Да,3,Карьерный рост,Нет,Ежедневно,Да,Кино,79,-,4.863808442747024,Красный,Нет,1
Лебедева Мария Романовна,I,Салат,Да,Да,Нет,4,Семья,Нет,Ежедневно,Да,Туризм,94,Да,4.523892911516846,Желтый,Да,1
Смирнова Алиса Ильинична,III,Салат,Да,Да,Да,5,Бизнес,Нет,Редко,Да,Чтение,84,Нет,4.477279088080069,Синий,Да,1
Иванова Ксения Ильинична,I,Салат,Нет,-,Да,5,Карьерный рост,Да,Ежедневно,Нет,Туризм,78,Нет,4.278898088106992,Желтый,Нет,1
Кузнецова Ольга Сергеевна,III,Бургер,Нет,Нет,Нет,4,Наука,-,Ежедневно,Нет,Кино,55,Да,4.553986337876238,Черный,Нет,0
Соколова Ольга Максимовна,I,Бургер,Нет,Да,Да,5,Карьерный рост,Да,Редко,Нет,Музыка,51,Да,4.00104402290673,Черный,Нет,1
Борисов Вячеслав Егорович,IV,Бургер,Да,Да,Да,1,Семья,Да,Редко,-,Спортивные игры,44,Да,4.778612343692439,Черный,Да,1
Козлов Сергей Викторович,I,Суши,Да,Да,Да,2,Карьерный рост,Нет,Несколько раз в неделю,Да,Туризм,93,Нет,4.989767820870627,Зеленый,Да,1
Васильев Вячеслав Максимович,III,Салат,Нет,Да,Нет,3,Семья,Да,Ежедневно,Да,Кино,54,Нет,4.169669962346402,Зеленый,Нет,0
Григорьева Надежда Антоновна,III,Пицца,Нет,Да,Да,3,Наука,-,Ежедневно,Нет,Музыка,96,Нет,4.991604634381679,Красный,Да,1
Козлов Сергей Константинович,IV,Роллы,Нет,Да,Да,1,Бизнес,Да,Редко,-,Кино,68,Да,4.464535477614882,Желтый,Да,1
Михайлов Артур Антонович,II,Суши,Нет,Да,Да,2,Бизнес,Да,Несколько раз в неделю,Да,Чтение,51,Нет,4.222445715685605,Красный,Нет,1
Смирнов Георгий Константинович,II,Пицца,Да,Нет,Нет,4,Семья,Нет,Ежедневно,Нет,Музыка,83,Нет,4.054555878285187,Синий,Нет,0
Зайцева Виктория Викторовна,II,Бургер,Да,Да,Нет,3,Семья,Нет,Несколько раз в неделю,Нет,Чтение,90,Да,4.71178531730045,Черный,Нет,0
Борисова Мария Романовна,II,Салат,Да,Да,Да,2,Путешествия,Нет,Редко,Да,Музыка,91,-,4.664935657459427,Зеленый,Да,1
Зайцев Дмитрий Павлович,I,Суши,Да,-,Нет,5,Путешествия,Нет,Ежедневно,Да,Туризм,72,Нет,4.285074194760519,Желтый,Да,0
Иванов Сергей Юрьевич,III,Суши,Нет,Нет,Нет,4,Семья,Нет,Несколько раз в неделю,Да,Кино,60,Нет,4.850529360502192,Черный,Нет,0
Петрова Юлия Алексеевна,IV,Роллы,Да,Да,Нет,4,Карьерный рост,Да,Несколько раз в неделю,Нет,Туризм,57,Да,4.959600857732314,Черный,Нет,0
Федоров Константин Романович,IV,Роллы,Нет,Да,-,1,Семья,Да,Ежедневно,Нет,Музыка,59,Да,4.6361606025417,Черный,Да,1
Сидоров Егор Константинович,I,Бургер,Да,Да,-,1,Бизнес,Да,Несколько раз в неделю,-,Чтение,63,Да,4.102479965578488,Зеленый,Нет,1
Козлов Олег Георгиевич,II,Суши,Да,Да,-,0,Наука,Нет,Редко,-,Туризм,85,Нет,4.274197574851931,Красный,Да,0
Романова Виктория Егоровна,IV,Пицца,Да,-,Да,0,Наука,Да,Несколько раз в неделю,Да,Туризм,78,Нет,4.259638200484033,Желтый,Нет,1
Сидоров Андрей Антонович,IV,Суши,Нет,Да,Нет,0,Наука,Да,Редко,Нет,Чтение,63,Да,4.601804439578909,Желтый,Да,0
Попова Виктория Дмитриевна,IV,Пицца,Нет,-,Да,3,Семья,-,Редко,-,Чтение,72,Да,4.812864317952625,Черный,Нет,1
Соловьева Людмила Романовна,III,Бургер,Нет,Нет,Нет,3,Бизнес,-,Ежедневно,Да,Кино,47,Нет,4.605217170551414,Черный,Да,0
Козлов Максим Викторович,I,Суши,Нет,Нет,Да,2,Карьерный рост,-,Ежедневно,Да,Кино,56,Нет,4.652598053803604,Желтый,Да,0
Иванова Людмила Максимовна,III,Суши,Нет,Нет,Нет,2,Путешествия,-,Ежедневно,Да,Музыка,66,Нет,4.836829628699983,Желтый,Нет,0
Козлова Ксения Антоновна,II,Роллы,Нет,Да,Нет,3,Бизнес,Нет,Ежедневно,Нет,Кино,73,Нет,4.178583948491709,Желтый,Да,0
Морозова Валерия Владимировна,IV,Пицца,Да,Да,Да,2,Семья,Нет,Редко,Нет,Спортивные игры,45,Нет,4.855444160009099,Красный,Нет,0
Кузнецова Валерия Владимировна,I,Роллы,Нет,Нет,Да,1,Бизнес,Да,Несколько раз в неделю,Да,Туризм,84,Да,4.56460136150092,Зеленый,Нет,1
Сидорова Ирина Романовна,III,Суши,Нет,Да,Да,1,Семья,Нет,Редко,Нет,Туризм,49,-,4.589914727225372,Зеленый,Нет,0
Васильев Антон Андреевич,II,Суши,-,Нет,Нет,3,Семья,Да,Редко,Да,Музыка,54,Да,4.955763647124587,Зеленый,Да,1
Попова Светлана Артуровна,I,Бургер,Да,Да,Нет,4,Путешествия,Нет,Ежедневно,Нет,Кино,41,Нет,4.299223356468987,Красный,Нет,0
Смирнов Сергей Викторович,III,Салат,Нет,Да,Да,5,Карьерный рост,Да,Несколько раз в неделю,Нет,Кино,94,-,4.666022028296284,Зеленый,Нет,1
Иванова Мария Юрьевна,I,Бургер,Да,Да,Да,0,Карьерный рост,Нет,Редко,Нет,Чтение,52,Да,4.981876072562708,Синий,Да,1
Кузнецова Ксения Романовна,I,Пицца,Да,Нет,-,4,Семья,Да,Несколько раз в неделю,Да,Спортивные игры,89,Да,4.612580017225888,Зеленый,Нет,1
Иванов Николай Артурович,I,Бургер,Нет,Да,Нет,4,Путешествия,Да,Ежедневно,Нет,Чтение,44,Нет,4.261114986993568,Красный,Да,0
Смирнова Ксения Егоровна,III,Бургер,Да,Нет,Да,2,Семья,Да,Редко,Нет,Кино,73,Нет,4.537604709004794,Синий,Да,1
Федорова Людмила Ивановна,III,Суши,Да,Да,Да,4,Путешествия,-,Несколько раз в неделю,Нет,Чтение,75,Да,4.562428442583596,Синий,Нет,1
Иванова Виктория Викторовна,IV,Суши,-,Нет,-,5,Путешествия,Да,Несколько раз в неделю,Да,Кино,90,Нет,4.69771882286531,Зеленый,Нет,1
Лебедева Дарья Константиновна,III,Бургер,Да,Да,-,1,Наука,Да,Редко,Нет,Туризм,40,Да,4.475644805798186,Черный,Нет,1
Михайлова Елена Романовна,I,Салат,Да,Да,Да,0,Наука,Да,Несколько раз в неделю,-,Спортивные игры,75,-,4.496566483196646,Желтый,Нет,1
Михайлова Татьяна Дмитриевна,I,Роллы,Нет,Нет,Нет,0,Карьерный рост,Нет,Редко,Нет,Туризм,65,Да,4.024401637536827,Черный,Да,0
Иванова Ксения Константиновна,IV,Пицца,Да,Нет,-,5,Карьерный рост,Нет,Ежедневно,Нет,Спортивные игры,67,Да,4.0014553934933375,Желтый,Да,1
Смирнова Ксения Ильинична,IV,Суши,Нет,Нет,Да,3,Путешествия,Нет,Несколько раз в неделю,Нет,Чтение,62,Нет,4.091800378162568,Желтый,Нет,0
Попов Егор Юрьевич,II,Роллы,-,Нет,Да,1,Наука,Нет,Ежедневно,Нет,Чтение,90,Нет,4.55790175716898,Зеленый,Нет,0
Соколова Елена Георгиевна,III,Бургер,Нет,Нет,Нет,0,Путешествия,Нет,Несколько раз в неделю,Да,Туризм,40,Нет,4.230402035814824,Черный,Нет,0
Морозов Роман Константинович,III,Пицца,Да,Да,Нет,4,Карьерный рост,Да,Ежедневно,Нет,Туризм,66,Да,4.781092950124291,Синий,Нет,0
Козлов Егор Георгиевич,IV,Роллы,-,Да,Нет,3,Наука,Да,Несколько раз в неделю,Да,Кино,87,Нет,4.898086135259,Красный,Да,1
Попова Ольга Алексеевна,II,Бургер,Да,Да,Нет,0,Семья,Да,Несколько раз в неделю,Нет,Музыка,73,Нет,4.83815894961874,Красный,Нет,0
Волков Павел Максимович,II,Пицца,Да,Да,Нет,0,Семья,Да,Ежедневно,Да,Туризм,55,Нет,4.253687283864993,Желтый,Да,0
Григорьева Зоя Максимовна,II,Суши,Да,Да,-,4,Наука,Да,Редко,Нет,Кино,79,Нет,4.582592985990354,Синий,Да,1
Михайлова Полина Егоровна,IV,Бургер,Да,Да,Да,3,Карьерный рост,Да,Несколько раз в неделю,Да,Спортивные игры,94,Нет,4.028040652029596,Красный,Нет,1
Морозова Валерия Павловна,IV,Салат,Да,Да,Нет,3,Путешествия,Нет,Ежедневно,Да,Чтение,79,Нет,4.57211411192217,Зеленый,Да,1
Смирнова Елена Алексеевна,III,Пицца,Нет,Нет,-,4,Семья,-,Ежедневно,Нет,Чтение,83,Нет,4.805384654528201,Зеленый,Да,1
Васильева Алиса Сергеевна,IV,Пицца,Да,Да,-,1,Наука,Да,Редко,-,Кино,90,Да,4.764165299775764,Зеленый,Да,1
Михайлов Павел Егорович,I,Пицца,Нет,Да,Нет,4,Семья,Да,Редко,Да,Кино,45,Да,4.76449425000258,Красный,Да,1
Лебедев Юрий Константинович,III,Салат,Да,Да,Нет,5,Путешествия,-,Редко,-,Туризм,42,Нет,4.574444985318051,Зеленый,Да,0
Романов Георгий Максимович,II,Суши,Нет,Да,Нет,5,Наука,Нет,Редко,Да,Туризм,42,-,4.331444250408121,Зеленый,Да,0
Соловьева Полина Ивановна,II,Бургер,Да,Да,Нет,4,Наука,Да,Редко,Нет,Чтение,46,Нет,4.518606346864575,Красный,Да,0
Иванов Роман Дмитриевич,IV,Салат,Да,Нет,Да,1,Путешествия,Да,Несколько раз в неделю,Нет,Музыка,55,-,4.142812272359473,Зеленый,Да,0
Федорова Светлана Артуровна,I,Суши,Нет,Нет,Нет,2,Наука,Да,Несколько раз в неделю,Да,Туризм,84,Нет,4.605605481520434,Зеленый,Нет,0
Кузнецов Николай Сергеевич,I,Бургер,Нет,Да,Да,2,Бизнес,Да,Несколько раз в неделю,Нет,Кино,73,Да,4.893910311659778,Зеленый,Нет,1
Кузнецова Елена Николаевна,I,Бургер,Да,Нет,Нет,3,Наука,Да,Ежедневно,Да,Кино,41,Нет,4.365810029580752,Красный,Да,0
Морозов Олег Антонович,I,Салат,Нет,Нет,Да,4,Путешествия,Да,Ежедневно,Да,Кино,75,Нет,4.85087333492248,Черный,Да,1
Волков Антон Максимович,IV,Роллы,Нет,Нет,Да,2,Карьерный рост,Да,Редко,Нет,Спортивные игры,70,Нет,4.511552233591878,Красный,Да,0
Смирнов Николай Вячеславович,IV,Бургер,-,Да,Нет,0,Наука,Нет,Несколько раз в неделю,Нет,Спортивные игры,50,Да,4.653809967466861,Зеленый,Да,0
Соколов Андрей Константинович,III,Суши,Да,Нет,Да,0,Карьерный рост,Нет,Несколько раз в неделю,Да,Чтение,44,Нет,4.200384298577051,Черный,Да,0
Иванов Максим Николаевич,II,Пицца,Да,Нет,Нет,0,Семья,Нет,Редко,Нет,Туризм,72,Да,4.515086624848905,Желтый,Нет,0
Соловьев Иван Алексеевич,II,Пицца,Да,Да,Нет,5,Путешествия,Нет,Ежедневно,Да,Музыка,46,-,4.613169290415841,Черный,Нет,0
Соловьев Артур Андреевич,IV,Пицца,Нет,Нет,-,4,Семья,-,Ежедневно,Нет,Кино,63,Нет,4.758663013353404,Черный,Да,0
Новиков Иван Антонович,II,Роллы,Нет,Нет,Да,3,Карьерный рост,Нет,Несколько раз в неделю,Да,Чтение,77,Да,4.711456088555106,Синий,Нет,1
Федорова Светлана Юрьевна,II,Пицца,Нет,Нет,Да,1,Семья,Нет,Ежедневно,Да,Спортивные игры,87,Да,4.841008055076763,Синий,Да,1
Васильев Максим Романович,I,Роллы,Да,-,-,3,Путешествия,Нет,Ежедневно,Да,Чтение,91,Да,4.462066686871041,Красный,Да,1
